X,Y,dev_id,Device_Type,Location,Easting,Northing,Latitude,Longitude,ObjectId
17022463.7800613,-3095846.17070162,atmos41-2717,Atmos,Mary Cairncross,491590.02,7038077.68,-26.77866656,152.91539387,1
17018663.6654909,-3096132.46832999,dc500-2572,DingTek,Mary Cairncross,488196.74,7037820.67,-26.78096257,152.88125686,2
17018568.5997589,-3096189.07988552,dc500-3a9e,DingTek,Mary Cairncross,488111.89,7037770.3,-26.78141657,152.88040287,3
17018574.7212177,-3096192.94544052,dc500-8bdc,DingTek,Mary Cairncross,488117.36,7037766.88,-26.78144757,152.88045786,4
17018584.4049002,-3096157.65670339,fpc-ff58,Farmo,Mary Cairncross,488125.98,7037798.23,-26.78116457,152.88054485,5
17018543.664193,-3096176.11157968,fpc-477f,Farmo,Mary Cairncross,488089.61,7037781.8,-26.78131257,152.88017887,6
17018589.086998,-3096117.50620802,fpc-57c7,Farmo,Mary Cairncross,488130.13,7037833.9,-26.78084258,152.88058691,7
17018576.2841434,-3096180.4746651,vs121-7177,Milesight,Mary Cairncross,488118.75,7037777.95,-26.78134756,152.8804719,8
17018656.8750019,-3096133.21525191,03f472,NCount,Mary Cairncross,488190.67,7037820,-26.78096856,152.88119586,9
17018655.0938901,-3096128.35340196,r712-3132,R712,Mary Cairncross,488189.08,7037824.32,-26.78092957,152.88117986,10
17018555.5731521,-3096067.00370776,r712-313f,R712,Mary Cairncross,488100.16,7037878.72,-26.78043757,152.88028585,11
17018751.2739301,-3096156.6591432,r718b140-06f7,R718b140,Mary Cairncross,488274.99,7037799.25,-26.78115657,152.88204386,12
17018669.0099396,-3096177.35853165,r718b140-06f8,R718b140,Mary Cairncross,488201.54,7037780.8,-26.78132257,152.88130487,13
17018668.0058378,-3096178.85487416,r718b140-06f9,R718b140,Mary Cairncross,488200.65,7037779.47,-26.78133457,152.88129585,14
17018752.832403,-3096156.16161008,r718b140-06fa,R718b140,Mary Cairncross,488276.38,7037799.7,-26.78115258,152.88205786,15
17018666.5586844,-3096177.73261726,r718b140-06fb,R718b140,Mary Cairncross,488199.36,7037780.47,-26.78132557,152.88128285,16
17018666.5586844,-3096177.73261726,r718b140-06fc,R718b140,Mary Cairncross,488199.36,7037780.47,-26.78132557,152.88128285,17
17018555.5731521,-3096067.00370776,smt100a-0b09,SMT100a,Mary Cairncross,488100.16,7037878.72,-26.78043757,152.88028585,18
17044496.2461118,-3096868.55842073,alphax-1692,Alpha X,Sugar Bag Road,511264.28,7037167.37,-26.78686555,153.11331488,19
17044528.1959188,-3096884.76959797,alphax-2467,Alpha X,Sugar Bag Road,511292.8,7037152.94,-26.78699555,153.11360189,20
17044564.9313508,-3096861.9492538,alphax-b761,Alpha X,Sugar Bag Road,511325.62,7037173.18,-26.78681255,153.11393189,21
17044574.9501049,-3096872.17475866,atmos41-2729,Atmos,Sugar Bag Road,511334.56,7037164.09,-26.78689455,153.11402189,22
17044501.7007668,-3096867.06200531,dc500-3852,DingTek,Sugar Bag Road,511269.16,7037168.69,-26.78685355,153.11336388,23
17044504.2611151,-3096876.66400703,dc500-385c,DingTek,Sugar Bag Road,511271.43,7037160.16,-26.78693055,153.11338688,24
17044527.6382082,-3096919.68230173,dc500-4402,DingTek,Sugar Bag Road,511292.28,7037121.94,-26.78727552,153.11359688,25
17044839.0032767,-3097127.55913902,dc500-540f,DingTek,Sugar Bag Road,511570.14,7036937.05,-26.7889425,153.11639392,26
17044588.8650413,-3096780.76773648,fpc-4f48,Farmo,Sugar Bag Road,511347.06,7037245.26,-26.78616154,153.11414689,27
17044893.5453744,-3096991.63913108,fpc-6460,Farmo,Sugar Bag Road,511618.95,7037057.73,-26.78785255,153.11688388,28
17044882.4134253,-3096974.17956213,fpc-7559,Farmo,Sugar Bag Road,511609.02,7037073.24,-26.78771254,153.11678388,29
17044533.3166154,-3096929.91034234,fpc-da3a,Farmo,Sugar Bag Road,511297.34,7037112.84,-26.78735754,153.11364789,30
17044574.9501049,-3096872.17475866,014ddf,NCount,Sugar Bag Road,511334.56,7037164.09,-26.78689455,153.11402189,31
17044430.7913644,-3097262.74469431,r718mbb-314f,R718mbb,Sugar Bag Road,511205.53,7036817.32,-26.79002655,153.11272689,32
17044478.4361064,-3097005.72925961,r718mbb-3151,R718mbb,Sugar Bag Road,511248.27,7037045.55,-26.78796554,153.11315489,33
